season,week,game_id,game_type,home_team,away_team,home_score,away_score,result,home_rest,away_rest,div_game
2015,1,2015_01_PIT_NE,REG,NE,PIT,28.0,21.0,7.0,7,7,0
2015,1,2015_01_IND_BUF,REG,BUF,IND,27.0,14.0,13.0,7,7,0
2015,1,2015_01_GB_CHI,REG,CHI,GB,23.0,31.0,-8.0,7,7,1
2015,1,2015_01_KC_HOU,REG,HOU,KC,20.0,27.0,-7.0,7,7,0
2015,1,2015_01_CAR_JAX,REG,JAX,CAR,9.0,20.0,-11.0,7,7,0
2015,1,2015_01_CLE_NYJ,REG,NYJ,CLE,31.0,10.0,21.0,7,7,0
2015,1,2015_01_SEA_STL,REG,STL,SEA,34.0,31.0,3.0,7,7,1
2015,1,2015_01_MIA_WAS,REG,WAS,MIA,10.0,17.0,-7.0,7,7,0
2015,1,2015_01_NO_ARI,REG,ARI,NO,31.0,19.0,12.0,7,7,0
2015,1,2015_01_DET_SD,REG,SD,DET,33.0,28.0,5.0,7,7,0
2015,1,2015_01_BAL_DEN,REG,DEN,BAL,19.0,13.0,6.0,7,7,0
2015,1,2015_01_CIN_OAK,REG,OAK,CIN,13.0,33.0,-20.0,7,7,0
2015,1,2015_01_TEN_TB,REG,TB,TEN,14.0,42.0,-28.0,7,7,0
2015,1,2015_01_NYG_DAL,REG,DAL,NYG,27.0,26.0,1.0,7,7,1
2015,1,2015_01_PHI_ATL,REG,ATL,PHI,26.0,24.0,2.0,7,7,0
2015,1,2015_01_MIN_SF,REG,SF,MIN,20.0,3.0,17.0,7,7,0
2015,2,2015_02_DEN_KC,REG,KC,DEN,24.0,31.0,-7.0,4,4,1
2015,2,2015_02_NE_BUF,REG,BUF,NE,32.0,40.0,-8.0,7,10,1
2015,2,2015_02_HOU_CAR,REG,CAR,HOU,24.0,17.0,7.0,7,7,0
2015,2,2015_02_ARI_CHI,REG,CHI,ARI,23.0,48.0,-25.0,7,7,0
2015,2,2015_02_SD_CIN,REG,CIN,SD,24.0,19.0,5.0,7,7,0
2015,2,2015_02_TEN_CLE,REG,CLE,TEN,28.0,14.0,14.0,7,7,0
2015,2,2015_02_DET_MIN,REG,MIN,DET,26.0,16.0,10.0,6,7,1
2015,2,2015_02_TB_NO,REG,NO,TB,19.0,26.0,-7.0,7,7,1
2015,2,2015_02_ATL_NYG,REG,NYG,ATL,20.0,24.0,-4.0,7,6,0
