season,team,attempts,completions,passing_yards,passing_tds,passing_epa,sacks,sack_yards,carries,rushing_yards,rushing_tds,rushing_epa,interceptions,sack_fumbles_lost,receiving_fumbles_lost,rushing_fumbles_lost,season_type
2015,ARZ,562,353,4775.0,35,142.46525964098925,27.0,159.0,452,1917.0,16,-27.7469323119212,13.0,2,3.0,4.0,REG
2015,ATL,621,410,4602.0,21,72.2424425202189,32.0,223.0,420,1606.0,13,-72.09781076041116,17.0,3,2.0,6.0,REG
2015,BLT,863,527,5403.0,24,-55.2738466441529,32.0,221.0,409,1572.0,9,-64.06479610372885,26.0,2,1.0,4.0,REG
2015,BUF,669,414,4876.0,28,7.6992475453720886,56.0,343.0,563,2624.0,20,2.169766369656692,16.0,2,3.0,2.0,REG
2015,CAR,501,300,3873.0,35,85.86609990519874,33.0,284.0,526,2282.0,19,6.919146563638755,10.0,1,3.0,5.0,REG
2015,CHI,608,383,4398.0,23,-9.614198605761477,37.0,191.0,474,1882.0,13,-27.436344725387606,15.0,5,0.0,2.0,REG
2015,CIN,505,334,4104.0,31,125.68454852987519,32.0,181.0,467,1805.0,18,-55.70401583478565,9.0,2,1.0,5.0,REG
2015,CLV,609,371,4156.0,20,-37.435032680520656,53.0,374.0,488,1931.0,7,-54.02318855672354,12.0,8,3.0,4.0,REG
2015,DAL,570,360,3982.0,19,-36.4635241180993,35.0,221.0,476,2176.0,9,-8.831818948385926,22.0,2,4.0,3.0,REG
2015,DEN,606,368,4216.0,19,-26.84857039632875,39.0,246.0,411,1718.0,13,-44.032239714703564,23.0,1,3.0,3.0,REG
2015,DET,632,420,4463.0,33,25.670327870647515,44.0,251.0,354,1335.0,7,-36.28385450290883,14.0,2,2.0,3.0,REG
2015,GB,573,348,3825.0,31,-9.622608368179485,47.0,322.0,436,1850.0,8,-23.889679081330513,8.0,4,1.0,4.0,REG
2015,HST,814,487,5383.0,33,6.992045018905685,46.0,327.0,483,1771.0,7,-55.0198388930269,16.0,4,2.0,2.0,REG
2015,IND,619,355,3928.0,26,-24.948735584531125,37.0,224.0,407,1475.0,6,-79.11568848078234,19.0,2,1.0,5.0,REG
2015,JAX,607,355,4428.0,35,4.9023543335658175,51.0,320.0,385,1595.0,5,-68.20366241384971,18.0,3,1.0,4.0,REG
2015,KC,473,310,3493.0,20,27.301570398516272,46.0,238.0,436,2044.0,19,5.5713811684789505,7.0,0,4.0,2.0,REG
2015,MIA,588,365,4231.0,24,0.3043286796660547,45.0,420.0,358,1550.0,11,-35.98664848041351,12.0,3,1.0,2.0,REG
2015,MIN,454,294,3246.0,14,-5.987777484615305,45.0,318.0,474,2211.0,18,2.7431292948308155,9.0,2,1.0,4.0,REG
2015,NE,630,404,4812.0,36,127.17129300686419,38.0,225.0,397,1444.0,14,-20.238052630814472,7.0,2,3.0,1.0,REG
2015,NO,667,460,5205.0,32,122.10325621110623,32.0,235.0,404,1507.0,16,-33.626720627789325,12.0,2,4.0,1.0,REG
2015,NYG,623,392,4500.0,36,62.41986116923446,27.0,157.0,403,1609.0,5,-46.541900584601784,14.0,3,2.0,2.0,REG
2015,NYJ,604,362,4170.0,33,73.83009702011127,22.0,113.0,448,1868.0,11,-41.21474763178271,16.0,2,3.0,2.0,REG
2015,OAK,605,373,4129.0,34,-8.94029042927497,33.0,250.0,372,1458.0,7,-42.32324212990883,14.0,2,1.0,3.0,REG
2015,PHI,623,405,4341.0,23,-8.604878421846786,37.0,254.0,442,1743.0,15,-42.227795778370506,18.0,2,3.0,8.0,REG
2015,PIT,590,391,4822.0,26,63.09887780454476,33.0,219.0,390,1727.0,16,-17.354447136102877,21.0,1,2.0,2.0,REG
2015,SD,667,442,4855.0,30,73.08717151116738,40.0,264.0,393,1358.0,4,-76.27448869421747,13.0,2,3.0,4.0,REG
2015,SEA,491,334,4068.0,34,132.04420445228195,46.0,271.0,548,2465.0,10,-35.66970433734639,8.0,2,1.0,4.0,REG
2015,SF,527,322,3646.0,16,-58.633678757944615,53.0,330.0,428,1667.0,7,-34.90843874641899,12.0,1,1.0,3.0,REG
2015,SL,473,273,2931.0,11,-85.31826021480668,18.0,126.0,432,1950.0,16,-61.11536791222054,11.0,2,2.0,5.0,REG
2015,TB,535,312,4042.0,22,49.23681380119149,27.0,190.0,455,2162.0,12,-29.151928632839194,15.0,1,3.0,6.0,REG
2015,TEN,583,358,4043.0,25,-76.61239393645707,59.0,418.0,420,1672.0,10,-56.29893568250426,18.0,8,2.0,4.0,REG
2015,WAS,555,386,4294.0,30,103.33162054971052,27.0,199.0,433,1578.0,9,-71.23503220557134,11.0,3,2.0,3.0,REG
2016,ARI,646,383,4425.0,28,21.115089693249395,41.0,289.0,399,1732.0,20,-33.14029407170747,17.0,3,3.0,5.0,REG
2016,ATL,537,374,4960.0,38,176.28193355559932,37.0,235.0,421,1928.0,20,-0.10122790439117546,7.0,2,1.0,1.0,REG
2016,BAL,679,439,4343.0,20,-33.47773891152833,33.0,243.0,336,1365.0,10,-16.797671499581423,16.0,2,1.0,1.0,REG
2016,BUF,474,286,3250.0,17,18.059317539858085,46.0,214.0,492,2630.0,29,41.6714212982245,7.0,2,0.0,3.0,REG
2016,CAR,563,306,3962.0,21,-26.05040088712223,36.0,277.0,453,1814.0,16,-31.3604053792029,19.0,2,2.0,4.0,REG
2016,CHI,559,347,4139.0,19,7.397014502923121,28.0,170.0,377,1729.0,10,-33.54792369752249,19.0,5,2.0,3.0,REG
2016,CIN,563,364,4206.0,18,63.68831079074759,41.0,264.0,446,1769.0,17,-10.034059794278487,8.0,1,4.0,2.0,REG
2016,CLE,567,338,3693.0,15,-36.915671942729944,66.0,429.0,349,1710.0,13,-30.419072154582736,14.0,5,0.0,4.0,REG
2016,DAL,483,325,3799.0,25,115.18718937399731,28.0,168.0,499,2396.0,24,22.67213967106411,6.0,4,3.0,2.0,REG
2016,DEN,570,339,3914.0,20,14.473789734062647,40.0,229.0,454,1620.0,11,-78.04567302509248,11.0,2,7.0,2.0,REG
2016,DET,594,388,4327.0,24,73.89057127971115,37.0,216.0,344,1297.0,9,-34.17673587170898,10.0,2,0.0,2.0,REG
2016,GB,620,403,4445.0,40,124.22331659349679,35.0,246.0,486,2165.0,17,-10.276160888238547,8.0,2,4.0,3.0,REG
2016,HOU,583,347,3418.0,15,-57.53683234871119,32.0,242.0,456,1859.0,8,-45.986939180547274,16.0,2,1.0,2.0,REG
2016,IND,583,370,4491.0,32,56.52445641935878,44.0,289.0,409,1628.0,13,-33.458239839705776,15.0,3,0.0,3.0,REG
2016,JAX,626,369,3925.0,24,-46.99978742221106,34.0,197.0,394,1638.0,8,-43.19970022361643,16.0,5,0.0,5.0,REG
2016,KC,546,365,3914.0,19,37.57247521783438,32.0,174.0,417,1753.0,15,-30.088077607857336,8.0,3,0.0,3.0,REG
2016,LA,536,312,3313.0,14,-143.21822083871177,49.0,362.0,375,1252.0,9,-62.19408018608949,20.0,3,3.0,2.0,REG
2016,MIA,477,316,3716.0,27,39.9499283681116,30.0,216.0,405,1824.0,14,-25.537177755902093,15.0,2,2.0,2.0,REG
2016,MIN,588,414,4119.0,20,41.851959526662384,38.0,283.0,362,1155.0,9,-94.57981098021165,5.0,5,0.0,2.0,REG
2016,NE,550,368,4456.0,32,166.01699891338677,24.0,148.0,482,1872.0,19,-28.11824019290482,2.0,1,3.0,2.0,REG
